record_id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,collection_site,collection_date
IRIS-0001,5.1,3.5,1.4,0.2,setosa,north_lab,2025-01-01
IRIS-0002,4.9,3.0,1.4,0.2,setosa,central_lab,2025-01-02
IRIS-0003,4.7,3.2,1.3,0.2,setosa,south_lab,2025-01-03
IRIS-0004,4.6,3.1,1.5,0.2,setosa,north_lab,2025-01-04
IRIS-0005,5.0,3.6,1.4,0.2,setosa,central_lab,2025-01-05
IRIS-0006,5.4,3.9,1.7,0.4,setosa,south_lab,2025-01-06
IRIS-0007,4.6,3.4,1.4,0.3,setosa,north_lab,2025-01-07
IRIS-0008,5.0,,1.5,0.2,setosa,central_lab,2025-01-08
IRIS-0009,4.4,2.9,1.4,0.2,setosa,south_lab,2025-01-09
IRIS-0010,4.9,3.1,1.5,0.1,setosa,north_lab,2025-01-10
IRIS-0011,5.4,3.7,1.5,0.2,setosa,central_lab,2025-01-11
IRIS-0012,4.8,3.4,1.6,0.2,setosa,south_lab,2025-01-12
IRIS-0013,4.8,3.0,1.4,0.1,setosa,north_lab,2025-01-13
IRIS-0014,4.3,3.0,1.1,0.1,setosa,central_lab,2025-01-14
IRIS-0015,5.8,4.0,1.2,0.2,setosa,south_lab,2025-01-15
IRIS-0016,5.7,4.4,1.5,0.4,setosa,north_lab,2025-01-16
IRIS-0017,5.4,3.9,1.3,0.4,setosa,central_lab,2025-01-17
IRIS-0018,5.1,3.5,1.4,0.3,setosa,south_lab,2025-01-18
IRIS-0019,5.7,3.8,1.7,0.3,setosa,,2025-01-19
IRIS-0020,5.1,3.8,1.5,0.3,setosa,central_lab,2025-01-20
IRIS-0021,5.4,3.4,1.7,0.2,setosa,south_lab,2025-01-21
IRIS-0022,5.1,3.7,1.5,0.4,setosa,north_lab,2025-01-22
IRIS-0023,4.6,3.6,1.0,0.2,setosa,central_lab,2025-01-23
IRIS-0024,5.1,3.3,1.7,0.5,setosa,south_lab,2025-01-24
IRIS-0025,4.8,3.4,1.9,0.2,setosa,north_lab,2025-01-25
IRIS-0026,5.0,3.0,1.6,0.2,setosa,central_lab,2025-01-26
IRIS-0027,5.0,3.4,1.6,0.4,setosa,south_lab,2025-01-27
IRIS-0028,5.2,3.5,1.5,0.2,setosa,north_lab,2025-01-28
IRIS-0029,5.2,3.4,1.4,0.2,setosa,central_lab,2025-01-29
IRIS-0030,4.7,3.2,1.6,0.2,setosa,south_lab,2025-01-30
IRIS-0031,4.8,3.1,1.6,0.2,setosa,north_lab,2025-01-31
IRIS-0032,5.4,,1.5,0.4,setosa,central_lab,2025-02-01
IRIS-0033,5.2,4.1,1.5,0.1,setosa,south_lab,2025-02-02
IRIS-0034,5.5,4.2,1.4,0.2,setosa,north_lab,2025-02-03
IRIS-0035,4.9,3.1,1.5,0.2,setosa,central_lab,2025-02-04
IRIS-0036,5.0,3.2,1.2,0.2,setosa,south_lab,2025-02-05
IRIS-0037,5.5,3.5,1.3,0.2,setosa,north_lab,2025-02-06
IRIS-0038,4.9,3.6,1.4,0.1,setosa,central_lab,2025-02-07
IRIS-0039,4.4,3.0,1.3,0.2,setosa,south_lab,2025-02-08
IRIS-0040,5.1,3.4,1.5,0.2,setosa,north_lab,2025-02-09
IRIS-0041,5.0,3.5,1.3,0.3,setosa,central_lab,2025-02-10
IRIS-0042,4.5,2.3,1.3,0.3,setosa,south_lab,2025-02-11
IRIS-0043,4.4,3.2,1.3,0.2,setosa,north_lab,2025-02-12
IRIS-0044,5.0,3.5,1.6,0.6,setosa,central_lab,2025-02-13
IRIS-0045,5.1,3.8,1.9,0.4,setosa,south_lab,2025-02-14
IRIS-0046,4.8,3.0,1.4,0.3,setosa,north_lab,2025-02-15
IRIS-0047,5.1,3.8,1.6,0.2,setosa,central_lab,2025-02-16
IRIS-0048,4.6,3.2,1.4,0.2,setosa,south_lab,2025-02-17
IRIS-0049,5.3,3.7,1.5,0.2,setosa,north_lab,2025-02-18
IRIS-0050,5.0,3.3,1.4,0.2,setosa,central_lab,2025-02-19
IRIS-0051,7.0,3.2,4.7,1.4,versicolor,south_lab,2025-02-20
IRIS-0052,6.4,3.2,4.5,1.5,versicolor,north_lab,2025-02-21
IRIS-0053,6.9,3.1,4.9,1.5,versicolor,central_lab,2025-02-22
IRIS-0054,5.5,2.3,4.0,1.3,versicolor,south_lab,2025-02-23
IRIS-0055,6.5,2.8,4.6,1.5,versicolor,north_lab,2025-02-24
IRIS-0056,5.7,2.8,4.5,1.3,versicolor,central_lab,2025-02-25
IRIS-0057,6.3,3.3,4.7,1.6,versicolor,south_lab,2025-02-26
IRIS-0058,4.9,2.4,3.3,1.0,versicolor,north_lab,2025-02-27
IRIS-0059,6.6,2.9,4.6,1.3,versicolor,central_lab,2025-02-28
IRIS-0060,5.2,2.7,3.9,1.4,versicolor,south_lab,2025-03-01
IRIS-0061,5.0,2.0,3.5,1.0,versicolor,north_lab,2025-03-02
IRIS-0062,5.9,3.0,4.2,1.5,versicolor,central_lab,2025-03-03
IRIS-0063,6.0,2.2,4.0,1.0,versicolor,south_lab,2025-03-04
IRIS-0064,6.1,2.9,4.7,1.4,versicolor,north_lab,2025-03-05
IRIS-0065,5.6,2.9,3.6,1.3,versicolor,central_lab,2025-03-06
IRIS-0066,6.7,3.1,4.4,1.4,versicolor,south_lab,2025-03-07
IRIS-0067,5.6,3.0,4.5,1.5,versicolor,north_lab,2025-03-08
IRIS-0068,5.8,2.7,4.1,1.0,versicolor,central_lab,2025-03-09
IRIS-0069,6.2,2.2,4.5,1.5,versicolor,south_lab,2025-03-10
IRIS-0070,5.6,2.5,3.9,1.1,versicolor,north_lab,2025-03-11
IRIS-0071,5.9,3.2,4.8,1.8,versicolor,central_lab,2025-03-12
IRIS-0072,6.1,2.8,4.0,1.3,versicolor,south_lab,2025-03-13
IRIS-0073,6.3,2.5,4.9,1.5,versicolor,north_lab,2025-03-14
IRIS-0074,6.1,2.8,4.7,1.2,versicolor,central_lab,2025-03-15
IRIS-0075,6.4,2.9,4.3,1.3,versicolor,south_lab,2025-03-16
IRIS-0076,6.6,3.0,4.4,1.4,versicolor,north_lab,2025-03-17
IRIS-0077,6.8,2.8,4.8,1.4,versicolor,central_lab,2025-03-18
IRIS-0078,6.7,3.0,5.0,1.7,versicolor,south_lab,2025-03-19
IRIS-0079,6.0,2.9,4.5,1.5,versicolor,north_lab,2025-03-20
IRIS-0080,5.7,2.6,3.5,1.0,versicolor,,2025-03-21
IRIS-0081,5.5,2.4,3.8,1.1,versicolor,south_lab,2025-03-22
IRIS-0082,5.5,2.4,3.7,1.0,versicolor,north_lab,2025-03-23
IRIS-0083,5.8,2.7,3.9,1.2,versicolor,central_lab,2025-03-24
IRIS-0084,6.0,2.7,5.1,1.6,versicolor,south_lab,2025-03-25
IRIS-0085,5.4,3.0,4.5,1.5,versicolor,north_lab,2025-03-26
IRIS-0086,6.0,3.4,4.5,1.6,versicolor,central_lab,2025-03-27
IRIS-0087,6.7,3.1,4.7,1.5,versicolor,south_lab,2025-03-28
IRIS-0088,6.3,2.3,4.4,1.3,versicolor,north_lab,2025-03-29
IRIS-0089,5.6,3.0,4.1,1.3,versicolor,central_lab,2025-03-30
IRIS-0090,5.5,2.5,4.0,1.3,versicolor,south_lab,2025-03-31
IRIS-0091,5.5,2.6,4.4,1.2,versicolor,north_lab,2025-04-01
IRIS-0092,6.1,3.0,4.6,1.4,versicolor,central_lab,2025-04-02
IRIS-0093,5.8,2.6,4.0,1.2,versicolor,south_lab,2025-04-03
IRIS-0094,5.0,2.3,3.3,1.0,versicolor,north_lab,2025-04-04
IRIS-0095,5.6,2.7,4.2,1.3,versicolor,central_lab,2025-04-05
IRIS-0096,5.7,,4.2,1.2,versicolor,south_lab,2025-04-06
IRIS-0097,5.7,2.9,4.2,1.3,versicolor,north_lab,2025-04-07
IRIS-0098,6.2,2.9,4.3,1.3,versicolor,central_lab,2025-04-08
IRIS-0099,5.1,2.5,3.0,1.1,versicolor,south_lab,2025-04-09
IRIS-0100,5.7,2.8,4.1,1.3,versicolor,north_lab,2025-04-10
IRIS-0101,6.3,3.3,6.0,2.5,virginica,central_lab,2025-04-11
IRIS-0102,5.8,2.7,5.1,1.9,virginica,south_lab,2025-04-12
IRIS-0103,7.1,3.0,5.9,2.1,virginica,north_lab,2025-04-13
IRIS-0104,6.3,2.9,5.6,1.8,virginica,central_lab,2025-04-14
IRIS-0105,6.5,3.0,5.8,2.2,virginica,south_lab,2025-04-15
IRIS-0106,7.6,3.0,6.6,2.1,virginica,north_lab,2025-04-16
IRIS-0107,4.9,2.5,4.5,1.7,virginica,central_lab,2025-04-17
IRIS-0108,7.3,2.9,6.3,1.8,virginica,south_lab,2025-04-18
IRIS-0109,6.7,2.5,5.8,1.8,virginica,north_lab,2025-04-19
IRIS-0110,7.2,3.6,6.1,2.5,virginica,central_lab,2025-04-20
IRIS-0111,6.5,3.2,5.1,2.0,virginica,south_lab,2025-04-21
IRIS-0112,6.4,2.7,5.3,1.9,virginica,north_lab,2025-04-22
IRIS-0113,6.8,3.0,5.5,2.1,virginica,central_lab,2025-04-23
IRIS-0114,5.7,2.5,5.0,2.0,virginica,south_lab,2025-04-24
IRIS-0115,5.8,2.8,5.1,2.4,virginica,north_lab,2025-04-25
IRIS-0116,6.4,3.2,5.3,2.3,virginica,central_lab,2025-04-26
IRIS-0117,6.5,3.0,5.5,1.8,virginica,south_lab,2025-04-27
IRIS-0118,7.7,3.8,6.7,2.2,virginica,north_lab,2025-04-28
IRIS-0119,7.7,2.6,6.9,2.3,virginica,central_lab,2025-04-29
IRIS-0120,6.0,2.2,5.0,1.5,virginica,south_lab,2025-04-30
IRIS-0121,6.9,3.2,5.7,2.3,virginica,north_lab,2025-05-01
IRIS-0122,5.6,2.8,4.9,2.0,virginica,central_lab,2025-05-02
IRIS-0123,7.7,2.8,6.7,2.0,virginica,south_lab,2025-05-03
IRIS-0124,6.3,2.7,4.9,1.8,virginica,north_lab,2025-05-04
IRIS-0125,6.7,3.3,5.7,2.1,virginica,central_lab,2025-05-05
IRIS-0126,7.2,3.2,6.0,1.8,virginica,south_lab,2025-05-06
IRIS-0127,6.2,2.8,4.8,1.8,virginica,north_lab,2025-05-07
IRIS-0128,6.1,3.0,4.9,1.8,virginica,central_lab,2025-05-08
IRIS-0129,6.4,2.8,5.6,2.1,virginica,south_lab,2025-05-09
IRIS-0130,7.2,3.0,5.8,1.6,virginica,north_lab,2025-05-10
IRIS-0131,7.4,2.8,6.1,1.9,virginica,central_lab,2025-05-11
IRIS-0132,7.9,3.8,6.4,2.0,virginica,south_lab,2025-05-12
IRIS-0133,6.4,2.8,5.6,2.2,virginica,north_lab,2025-05-13
IRIS-0134,6.3,2.8,5.1,1.5,virginica,central_lab,2025-05-14
IRIS-0135,6.1,2.6,5.6,1.4,virginica,south_lab,2025-05-15
IRIS-0136,7.7,3.0,6.1,2.3,virginica,north_lab,2025-05-16
IRIS-0137,6.3,3.4,5.6,2.4,virginica,central_lab,2025-05-17
IRIS-0138,6.4,3.1,5.5,1.8,virginica,south_lab,2025-05-18
IRIS-0139,6.0,3.0,4.8,1.8,virginica,north_lab,2025-05-19
IRIS-0140,6.9,3.1,5.4,2.1,virginica,central_lab,2025-05-20
IRIS-0141,6.7,3.1,5.6,2.4,virginica,south_lab,2025-05-21
IRIS-0142,6.9,3.1,5.1,2.3,virginica,north_lab,2025-05-22
IRIS-0143,5.8,2.7,5.1,1.9,virginica,central_lab,2025-05-23
IRIS-0144,6.8,3.2,5.9,2.3,virginica,south_lab,2025-05-24
IRIS-0145,6.7,3.3,5.7,2.5,virginica,north_lab,2025-05-25
IRIS-0146,6.7,3.0,5.2,2.3,virginica,central_lab,2025-05-26
IRIS-0147,6.3,2.5,5.0,1.9,virginica,south_lab,2025-05-27
IRIS-0148,6.5,3.0,5.2,2.0,virginica,north_lab,2025-05-28
IRIS-0149,6.2,3.4,5.4,2.3,virginica,central_lab,2025-05-29
IRIS-0150,5.9,3.0,5.1,1.8,virginica,south_lab,2025-05-30
